Kabupaten/Kota;BPR/S;LKM/S;Pegadaian;Bank;ATM;RS Umum;RS Swasta/Khusus;Puskesmas;Poliklinik (Klinik Pratama);Posyandu/Polindes;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB;Akademi;Politeknik;Sekolah Tinggi;Institut;Universitas;Jumlah Guru TK;Jumlah Guru KB;Jumlah Guru TPA;Jumlah Guru SPS;Jumlah Guru PKBM;Jumlah Guru SKB;Jumlah Guru SD;Jumlah Guru SMP;Jumlah Guru SMA;Jumlah Guru SMK;Jumlah Guru SLB;Pserta Didik TK;Pserta Didik KB;Pserta Didik TPA;Pserta Didik SPS;Pserta Didik PKBM;Pserta Didik SKB;Pserta Didik SD;Pserta Didik SMP;Pserta Didik SMA;Pserta Didik SMK;Pserta Didik SLB;Jumlah Penduduk;Kepadatan Penduduk;PDRB per Kapita;Tenaga Medis Dokter;Tenaga Medis Perawat;Tenaga Medis Bidan;Tenaga Medis Tenaga Kefarmasian;Tenaga Medis Tenaga Gizi;analisis proximity (jarak) ;Kepadatan Fasilitas Luas Wilayah Km2;Kepadatan Fasilitas Keuangan;Kepadatan Fasilitas Kesehatan;Kepadatan Fasilitas Pendidikan
Tapanuli Utara;18;20;3;62;58;2;0;21;34;415;41;210;1;0;4;0;385;80;25;23;1;3;0;2;1;1;122;459;2;0;6;0;3,212;1,378;776;473;19;1,557;5,19;18;0;959;0;38,702;20,055;13,74;6,321;74;402,9;175;13.671,28;88;536;878;23;25;125,52;3895,6;161;472;777
Tebing Tinggi;1;46;3;117;76;6;0;9;64;128;39;38;0;4;6;0;101;27;14;14;3;3;1;4;0;0;142;83;0;6;17;0;1,001;619;350;365;35;1,979;1,174;0;121;719;0;17,069;10,233;6,5;5,922;307;330,9;85;11.279,15;85;429;887;34;36;152,38;2772,38;243;207;254
Toba;5;22;2;55;72;2;0;19;40;318;32;177;0;0;2;1;225;51;18;17;2;3;1;4;1;0;100;365;0;0;1;4;1,844;884;487;334;15;1,562;2,841;0;0;0;88;23,295;12,612;9,129;5,222;70;219,6;96;10.284,43;115;329;496;39;29;122,96;2291,62;156;379;534
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kabupaten/Kota;Jenis Dokumen;Pendidikan (%);Anggaran Pendidikan (Rp);Catatan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asahan;APBD;32,11;Rp581,363,261,698;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batubara;APBD;34,32;Rp452,871,046,916;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batubara;P-APBD;29,22;Rp392,463,613,996;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dairi;APBD;31,04;Rp396,167,579,190;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dairi;P-APBD;32,34;Rp437,288,546,081;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deli Serdang;APBD;31,09;Rp1,501,943,317,860;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deli Serdang;P-APBD;31,22;Rp1,557,329,189,133;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Humbang Hasundutan;APBD;30,72;Rp320,997,690,045;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Humbang Hasundutan;P-APBD;31,07;Rp335,124,717,310;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karo;APBD;30,69;Rp463,255,379,103;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labuhanbatu Selatan;APBD;31,06;Rp315,436,815,815;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labuhanbatu Selatan;P-APBD;25,44;Rp279,882,537,391;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labuhanbatu Utara;APBD;33,99;Rp364,767,081,536;Sesuai UU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labuhanbatu Utara;P-APBD;31,93;Rp364,767,081,536;Sesuai UU dan Stabil pada P-APBD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
